	Match	HOdds	DOdds	VOdds
365	Marseille - Dijon 3:0	1.30	5.53	10.49
366	Lille - Nantes 3:0	2.11	3.21	3.83
367	Lyon - Strasbourg 4:0	1.35	5.24	8.87
368	Montpellier - Caen 1:0	1.82	3.54	4.65
369	Troyes - Rennes 1:1	2.88	3.13	2.63
370	Monaco - Toulouse 3:2	1.31	5.50	10.46
371	Bordeaux - Troyes 2:1	1.42	4.63	8.13
372	Marseille - Angers 1:1	1.67	3.75	5.58
373	Nice - Guingamp 2:0	1.88	3.47	4.42
374	St Etienne - Amiens 3:0	1.61	3.74	6.42
375	Lyon - Bordeaux 3:3	1.67	3.97	5.17
376	Dijon - Monaco 1:4	6.43	4.33	1.52
377	Bordeaux - Metz 2:0	1.41	4.62	8.15
378	Toulouse - Montpellier 1:0	2.31	3.13	3.42
379	Nice - Troyes 1:2	1.51	4.16	6.90
380	Angers - Bordeaux 2:2	2.46	3.07	3.19
381	Metz - Guingamp 1:3	2.97	3.23	2.50
382	St Etienne - Nice 1:0	2.39	3.13	3.25
383	Paris SG - Amiens 2:0	1.09	10.98	29.50
