	Match	HOdds	DOdds	VOdds
113	Betis - Real Sociedad 0:0	2.71	3.58	2.55
114	Atl. Madrid - Leganes 4:0	1.25	5.60	16.64
115	Ath Bilbao - Valencia 1:1	2.52	3.23	3.00
116	Malaga - Sevilla 0:1	3.44	3.40	2.20
117	Girona - Celta Vigo 1:0	2.39	3.43	3.07
118	Levante - Betis 0:2	2.43	3.53	2.92
119	Sevilla - Atl. Madrid 2:5	3.24	3.27	2.36
120	Ath Bilbao - Malaga 2:1	1.66	3.64	6.14
121	Barcelona - Girona 6:1	1.16	8.14	17.81
122	Real Madrid - Alaves 4:0	1.17	8.08	15.77
123	Dep. La Coruna - Espanyol 0:0	2.59	3.20	2.92
124	Leganes - Real Madrid 1:3	7.71	4.71	1.43
125	Getafe - Celta Vigo 3:0	2.70	3.24	2.79
126	Betis - Real Madrid 3:5	8.32	5.94	1.33
127	Atl. Madrid - Ath Bilbao 2:0	1.39	4.47	10.54
128	Malaga - Valencia 1:2	3.87	3.52	2.01
129	Eibar - Barcelona 0:2	7.78	4.87	1.42
130	Las Palmas - Villarreal 0:2	3.43	3.50	2.16
131	Espanyol - Real Sociedad 2:1	2.95	3.22	2.59
132	Getafe - Levante 0:1	1.67	3.75	5.78
133	Eibar - Real Madrid 1:2	6.44	4.79	1.48
134	Real Sociedad - Alaves 2:1	1.60	4.03	5.97
